Class,Name,H,C,Blank,COTL,Age
Fish,Fish_001.png,0.857119,0.173432,3.6e-05,0.105329,4
Fish,Fish_002.png,0.862209,0.167724,0.03874,0.12022,4
Fish,Fish_003.png,0.853531,0.176583,7.7e-05,0.125998,4
Fish,Fish_004.png,0.879211,0.148761,0.00271,0.102408,4
Fish,Fish_005.png,0.884351,0.144648,0.002919,0.103466,4
Fish,Fish_006.png,0.871296,0.157472,0.001746,0.160188,4
Fish,Fish_007.png,0.894808,0.132922,0.006651,0.106602,4
Fish,Fish_008.png,0.893799,0.13375,0.0,0.104262,4
Fish,Fish_009.png,0.875291,0.153879,0.000699,0.10275,4
Fish,Fish_010.png,0.867885,0.161537,5e-06,0.139235,4
Fish,Fish_011.png,0.882243,0.146598,0.007932,0.115435,4
Fish,Fish_012.png,0.88537,0.140908,1.0,0.144741,4
Fish,Fish_013.png,0.793154,0.195313,1.0,0.210083,4
Fish,Fish_014.png,0.83097,0.198102,0.0,0.153454,4
Fish,Fish_015.png,0.886099,0.141773,0.0,0.108123,5
Fish,Fish_016.png,0.897479,0.129827,8.7e-05,0.102621,5
Fish,Fish_017.png,0.875924,0.153035,0.000117,0.101821,5
Fish,Fish_018.png,0.873329,0.15355,0.008304,0.106347,5
Fish,Fish_019.png,0.860695,0.168796,2.6e-05,0.103737,5
Fish,Fish_020.png,0.892212,0.135066,1.0,0.104767,5
Fish,Fish_021.png,0.855428,0.174502,3.1e-05,0.10279,5
Fish,Fish_022.png,0.875874,0.152829,0.0,0.107181,5
Fish,Fish_023.png,0.86487,0.164745,1e-05,0.102175,5
Fish,Fish_024.png,0.862077,0.166919,0.003374,0.104301,5
Fish,Fish_025.png,0.877911,0.151302,0.0,0.103222,5
Fish,Fish_026.png,0.883934,0.144766,0.000194,0.103218,5
Fish,Fish_027.png,0.856895,0.17025,0.021922,0.118185,5
Fish,Fish_028.png,0.870558,0.156562,0.001174,0.103416,5
Fish,Fish_029.png,0.831742,0.198858,2.6e-05,0.097603,5
Fish,Fish_030.png,0.845237,0.185322,0.0,0.100933,5
Fish,Fish_031.png,0.844199,0.187273,0.0,0.099264,5
Fish,Fish_032.png,0.828248,0.200618,0.000276,0.099615,5
Fish,Fish_033.png,0.83206,0.196803,0.001092,0.098024,5
Fish,Fish_034.png,0.83911,0.190843,0.00047,0.10191,5
Fish,Fish_035.png,0.830169,0.200149,0.000551,0.095964,5
Fish,Fish_036.png,0.842197,0.18802,0.0,0.099041,5
Fish,Fish_037.png,0.854123,0.177594,5e-06,0.100792,5
Fish,Fish_038.png,0.827357,0.203087,7.1e-05,0.100287,5
Fish,Fish_039.png,0.823252,0.206902,0.00123,0.102128,5
Fish,Fish_040.png,0.84887,0.181538,0.000148,0.100375,5
Fish,Fish_041.png,0.81391,0.214485,9.2e-05,0.09986,5
Fish,Fish_042.png,0.85134,0.180009,4.1e-05,0.101808,5
Fish,Fish_043.png,0.840289,0.189841,0.0,0.101124,5
Fish,Fish_044.png,0.850118,0.18024,0.0,0.099848,5
Fish,Fish_045.png,0.852216,0.178786,1e-05,0.101197,5
Fish,Fish_046.png,0.83576,0.192496,5e-06,0.09953,5
Fish,Fish_047.png,0.820235,0.20909,0.0,0.105304,5
Fish,Fish_048.png,0.828456,0.20056,0.003971,0.098617,5
Fish,Fish_049.png,0.835704,0.193734,5e-06,0.100298,5
Fish,Fish_050.png,0.827302,0.200889,0.000225,0.102138,5
Fish,Fish_051.png,0.832863,0.196575,0.0,0.103382,5
Fish,Fish_052.png,0.832357,0.193277,2.6e-05,0.099601,5
Fish,Fish_053.png,0.843532,0.185599,0.000148,0.098413,5
Fish,Fish_054.png,0.841269,0.189412,0.0,0.100248,5
Fish,Fish_055.png,0.839986,0.190257,7.7e-05,0.097198,5
Fish,Fish_056.png,0.839211,0.191193,0.001577,0.100464,5
Fish,Fish_057.png,0.841207,0.18698,0.000388,0.092157,5
Fish,Fish_058.png,0.850884,0.179624,0.001353,0.10795,5
Fish,Fish_059.png,0.83149,0.197303,0.010438,0.10006,5
Fish,Fish_060.png,0.829314,0.195646,0.0,0.101558,5
Fish,Fish_061.png,0.819631,0.205292,0.01276,0.098002,5
Fish,fish_062.png,0.837637,0.193361,0.000561,0.101875,5
Fish,fish_063.png,0.837963,0.192574,5e-06,0.100008,5
Fish,fish_064.png,0.842056,0.188532,0.0,0.102591,5
Fish,fish_065.png,0.824296,0.203396,0.001307,0.092461,5
Fish,fish_066.png,0.838868,0.191213,0.000357,0.102325,5
Fish,fish_067.png,0.837237,0.193644,0.001985,0.087007,5
Fish,fish_068.png,0.836394,0.192273,0.000516,0.097974,5
Fish,fish_069.png,0.843899,0.187041,2.6e-05,0.102279,5
Fish,fish_070.png,0.838642,0.190615,2.6e-05,0.100793,5
Fish,fish_071.png,0.84261,0.187087,0.003068,0.122759,5
Fish,fish_072.png,0.843785,0.185125,0.001169,0.096338,5
Fish,fish_073.png,0.836645,0.189043,0.0,0.09551,5
Fish,fish_074.png,0.842296,0.181991,5e-06,0.104022,5
Fish,fish_075.png,0.832604,0.197292,1.5e-05,0.098395,5
Fish,fish_076.png,0.841568,0.186986,0.000322,0.099254,5
Fish,fish_077.png,0.838386,0.191434,0.0,0.083736,5
Fish,fish_078.png,0.833828,0.195274,0.0,0.10245,5
Fish,fish_079.png,0.84253,0.18774,0.000265,0.100801,5
Fish,fish_080.png,0.84376,0.186561,0.0,0.10163,5
Fish,fish_081.png,0.839837,0.190684,0.0,0.107818,5
Fish,fish_082.png,0.840578,0.189436,2e-05,0.0981,5
Fish,fish_083.png,0.843788,0.184792,0.000536,0.097866,5
Fish,fish_084.png,0.839111,0.191619,5.6e-05,0.097457,5
Fish,fish_085.png,0.850006,0.179033,1.0,0.100071,5
Fish,fish_086.png,0.82702,0.202848,0.000332,0.099338,5
Fish,fish_087.png,0.839591,0.190137,0.000306,0.101195,5
Fish,fish_088.png,0.842739,0.188495,0.000102,0.100635,5
Fish,fish_089.png,0.843158,0.186617,0.0,0.097575,5
Fish,fish_090.png,0.836566,0.194136,0.000577,0.091021,5
Fish,fish_091.png,0.845612,0.184618,0.0,0.104783,5
Fish,fish_092.png,0.844226,0.185605,0.0,0.102332,5
Fish,fish_093.png,0.842918,0.18779,0.0,0.099239,5
Fish,fish_094.png,0.842882,0.188451,0.001751,0.0986,5
Fish,fish_095.png,0.847241,0.18352,0.0,0.1034,5
Fish,fish_096.png,0.835766,0.193775,1e-05,0.098765,5
Fish,fish_097.png,0.825326,0.205352,1e-05,0.088659,5
Fish,fish_098.png,0.837583,0.192897,0.000322,0.645852,5
Fish,fish_099.png,0.816826,0.211551,0.000664,0.08645,5
Fish,fish_100.png,0.833743,0.19632,0.0,0.093944,5
Fish,fish_101.png,0.83805,0.193177,0.000434,0.103195,5
Fish,fish_102.png,0.818712,0.208116,0.002174,0.04955,5
Fish,fish_103.png,0.825355,0.198991,0.025219,0.085306,5
Fish,fish_104.png,0.820975,0.206252,0.000521,0.100249,5
Fish,fish_105.png,0.826322,0.20399,0.000352,0.095381,5
Fish,fish_106.png,0.845371,0.185935,0.001669,0.087557,5
Fish,fish_107.png,0.837832,0.193894,0.000133,0.082383,5
Fish,fish_108.png,0.829592,0.19393,0.087335,0.107201,5
Fish,fish_109.png,0.823714,0.201681,0.001005,0.167252,5
Fish,fish_110.png,0.832162,0.196915,0.000199,0.111978,5
Fish,fish_111.png,0.808285,0.216709,0.000128,0.156718,5
Fish,fish_112.png,0.833271,0.196919,0.0,0.115222,5
Fish,fish_113.png,0.841198,0.188695,0.000602,0.114803,5
Fish,fish_114.png,0.82894,0.200477,0.002511,0.088823,5
Fish,fish_115.png,0.830317,0.199216,0.002236,0.090255,5
Fish,fish_116.png,0.825961,0.204192,0.001067,0.074701,5
Fish,fish_117.png,0.824449,0.203908,0.001909,0.104174,5
Fish,fish_118.png,0.832193,0.197172,0.002623,0.083512,5
Fish,fish_119.png,0.826301,0.202739,0.006906,0.078101,5
Fish,fish_120.png,0.831341,0.198602,2e-05,0.145363,5
Fish,fish_121.png,0.814524,0.206024,1e-05,0.098575,5
Fish,fish_122.png,0.834738,0.194606,5e-06,0.084182,5
Fish,fish_123.png,0.841143,0.190256,0.0,0.083309,5
Fish,fish_124.png,0.846023,0.182018,0.0,0.122194,5
Fish,fish_125.png,0.837348,0.193769,5e-06,0.086527,5
Fish,fish_126.png,0.832016,0.197626,1e-05,0.102186,5
Fish,fish_127.png,0.838265,0.192888,0.0,0.078777,5
Fish,fish_128.png,0.846582,0.182528,0.0,0.117996,5
Fish,fish_129.png,0.840391,0.190068,0.0,0.093759,5
Fish,fish_130.png,0.838635,0.190729,0.0,0.100316,5
Fish,fish_131.png,0.826973,0.201664,0.0,0.107737,5
Fish,fish_132.png,0.824069,0.20399,5.6e-05,0.065947,5
Fish,fish_133.png,0.840762,0.189987,0.0,0.103242,5
Fish,fish_134.png,0.841632,0.189339,0.0,0.098559,5
Fish,fish_135.png,0.838469,0.191925,0.0,0.105912,5
Fish,fish_136.png,0.827492,0.196457,0.000781,0.104896,5
Fish,fish_137.png,0.826184,0.203296,4.1e-05,0.10328,5
Fish,fish_138.png,0.833909,0.195049,0.000505,0.094767,5
Fish,fish_139.png,0.818568,0.207628,0.0,0.083632,5
Fish,fish_140.png,0.834169,0.19469,7.7e-05,0.079427,5
Fish,fish_141.png,0.83702,0.194451,0.0,0.097918,5
Fish,fish_142.png,0.838641,0.190178,0.0,0.079889,5
Fish,fish_143.png,0.826889,0.200713,0.0,0.101515,5
Fish,fish_144.png,0.839429,0.190516,0.0,0.101697,5
Fish,fish_145.png,0.835131,0.196219,0.0,0.071628,5
Fish,fish_146.png,0.835199,0.195703,0.0,0.087421,5
Fish,fish_147.png,0.829397,0.198023,0.0,0.101931,5
Fish,fish_148.png,0.837131,0.192011,0.0,0.101587,5
Fish,fish_149.png,0.850303,0.180767,0.0,0.10139,5
Fish,fish_150.png,0.826722,0.2017,0.0,0.106646,5
Fish,fish_151.png,0.80409,0.214797,0.0,0.080767,4
Fish,fish_152.png,0.818993,0.208225,0.0,0.102934,4
Fish,fish_153.png,0.814128,0.213265,5.1e-05,0.064818,4
Fish,fish_154.png,0.740736,0.23156,3.1e-05,0.068177,4
Fish,fish_155.png,0.82454,0.203702,0.0,0.175695,4
Fish,fish_156.png,0.824232,0.205175,5.1e-05,0.07158,4
Fish,fish_157.png,0.808094,0.21655,0.0,0.098643,4
Fish,fish_158.png,0.811075,0.216023,0.0,0.116368,4
Fish,fish_159.png,0.807662,0.214593,0.0,0.071045,4
Fish,fish_160.png,0.828026,0.202746,0.0,0.086405,4
Fish,fish_161.png,0.823311,0.206367,1e-05,0.072727,4
Fish,fish_162.png,0.827146,0.202244,2.6e-05,0.074836,4
Fish,fish_163.png,0.809122,0.215198,0.0,0.116981,4
Fish,fish_164.png,0.809754,0.206722,0.0,0.080159,4
Fish,fish_165.png,0.815595,0.21271,0.0,0.077576,4
Fish,fish_166.png,0.816101,0.211738,0.0,0.075276,4
Fish,fish_167.png,0.813537,0.216097,0.0,0.093954,4
Fish,fish_168.png,0.819927,0.205915,6.6e-05,0.123433,4
Fish,fish_169.png,0.815249,0.214493,0.0,0.073415,4
Fish,fish_170.png,0.813938,0.212648,0.000148,0.086424,4
Fish,fish_171.png,0.842071,0.187564,0.000924,0.121818,4
Fish,fish_172.png,0.823988,0.20307,0.004262,0.121082,4
Fish,fish_173.png,0.81724,0.209034,0.003455,0.08545,4
Fish,fish_174.png,0.828064,0.202938,2e-05,0.280205,4
Fish,fish_175.png,0.823679,0.197579,0.111048,0.08005,4
Fish,fish_176.png,0.833355,0.195609,0.000485,0.124715,4
Fish,fish_177.png,0.840142,0.187265,0.005916,0.098031,4
Fish,fish_178.png,0.82136,0.206751,0.00564,0.091178,4
Fish,fish_179.png,0.826837,0.200719,0.036632,0.066298,4
Fish,fish_180.png,0.809693,0.216583,0.008677,0.174502,4
Fish,fish_181.png,0.81496,0.211149,5.1e-05,0.382354,4
Fish,fish_182.png,0.825166,0.204137,7.1e-05,0.092536,4
Fish,fish_183.png,0.830651,0.198439,0.001087,0.111701,4
Fish,fish_184.png,0.828189,0.197968,0.004685,0.140742,4
Fish,fish_185.png,0.820444,0.206896,0.001036,0.094519,4
Fish,fish_186.png,0.820285,0.203816,0.03188,0.098397,4
Fish,fish_187.png,0.809546,0.217156,0.000184,0.115529,4
Fish,fish_188.png,0.816937,0.206001,0.006793,0.11068,4
Fish,fish_189.png,0.817736,0.209626,0.001266,0.139212,4
Fish,fish_190.png,0.830064,0.198491,1.5e-05,0.12247,4
Fish,fish_191.png,0.821682,0.206517,0.006053,0.072579,4
Fish,fish_192.png,0.840222,0.189033,8.7e-05,0.133626,4
Fish,fish_193.png,0.830372,0.197469,0.010131,0.082384,4
Fish,fish_194.png,0.846135,0.183886,0.0,0.128561,4
Fish,fish_195.png,0.835349,0.193082,0.0,0.124906,4
Fish,fish_196.png,0.814846,0.203684,0.143494,0.122583,4
Fish,fish_197.png,0.836137,0.192867,0.000204,0.103823,4
Fish,fish_198.png,0.846179,0.181593,0.000755,0.119382,4
Fish,fish_199.png,0.831893,0.19736,0.002098,0.131265,4
Fish,fish_200.png,0.835971,0.195301,0.001388,0.101759,4
Fish,fish_201.png,0.837531,0.19164,0.000225,0.1095,4
Fish,fish_202.png,0.816382,0.208372,0.0,0.141144,4
Fish,fish_203.png,0.822724,0.207601,0.001031,0.104148,4
Fish,fish_204.png,0.827487,0.201928,0.002583,0.10699,4
Fish,fish_205.png,0.845522,0.183149,0.0,0.141441,4
Fish,fish_206.png,0.830548,0.198977,5e-06,0.108149,4
Fish,fish_207.png,0.813098,0.215248,0.002649,0.10114,4
Fish,fish_208.png,0.848581,0.177634,0.0,0.118855,4
Fish,fish_209.png,0.842426,0.186978,0.000133,0.106387,4
Fish,fish_210.png,0.807612,0.207363,0.155606,0.102226,4
Fish,fish_211.png,0.826707,0.200449,0.005078,0.085367,4
Fish,fish_212.png,0.8164,0.211546,0.000204,0.104352,4
Fish,fish_213.png,0.837427,0.192808,4.1e-05,0.124784,4
Fish,fish_214.png,0.843353,0.184338,4.1e-05,0.222439,4
Fish,fish_215.png,0.838785,0.18943,6.6e-05,0.12269,4
Fish,fish_216.png,0.844214,0.186423,1e-05,0.139308,4
Fish,fish_217.png,0.834488,0.195962,6.1e-05,0.107515,4
Fish,fish_218.png,0.850581,0.179815,0.006436,0.134102,4
Fish,fish_219.png,0.818465,0.20643,0.013245,0.092759,4
Fish,fish_220.png,0.811889,0.214228,0.02821,0.095366,4
Fish,fish_221.png,0.823027,0.202746,0.013225,0.113124,4
Fish,fish_222.png,0.819366,0.207656,0.004742,0.099559,4
Fish,fish_223.png,0.811622,0.215414,0.000112,0.221906,4
Fish,fish_224.png,0.818214,0.207187,0.015404,0.100255,4
Fish,fish_225.png,0.835696,0.192647,0.001781,0.141953,4
Fish,fish_226.png,0.833835,0.194155,0.01032,0.098761,4
Fish,fish_227.png,0.840713,0.183792,0.002098,0.119838,4
Fish,fish_228.png,0.837025,0.191459,0.032038,0.085612,4
Fish,fish_229.png,0.822862,0.205162,0.001894,0.123831,4
Fish,fish_230.png,0.814558,0.21226,0.035539,0.152039,4
Fish,fish_231.png,0.835185,0.193177,0.008371,0.157447,4
Fish,fish_232.png,0.818349,0.204808,0.081618,0.079484,4
Fish,fish_233.png,0.822058,0.198062,0.058946,0.118569,4
Fish,fish_234.png,0.814772,0.207051,0.104939,0.079774,4
Fish,fish_235.png,0.838603,0.186412,5e-06,0.269694,4
Fish,fish_236.png,0.831126,0.192327,2e-05,0.217795,4
Fish,fish_237.png,0.826053,0.201322,6.1e-05,0.097032,4
Fish,fish_238.png,0.831687,0.196624,0.001664,0.116935,4
Fish,fish_239.png,0.835049,0.19457,0.000388,0.135677,4
Fish,fish_240.png,0.83791,0.192834,0.00072,0.111637,4
Fish,fish_241.png,0.825085,0.200391,0.001695,0.107943,4
Fish,fish_242.png,0.824477,0.203634,0.005961,0.101523,4
